timestamp,meta_test_type,meta_endpoint,meta_architecture,meta_label,meta_run_name,container_blkio_device_usage_total,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_system_seconds_total,container_memory_working_set_bytes,http_client_requests_active_seconds_count,http_client_requests_active_seconds_max,http_client_requests_seconds_count,http_client_requests_seconds_max,http_server_requests_active_seconds_bucket,http_server_requests_active_seconds_gsum,http_server_requests_seconds_count,http_server_requests_seconds_sum,image_cache_hits_total,image_cache_load_duration_seconds_sum,image_processed_bytes_total,jvm_gc_live_data_size_bytes,jvm_gc_overhead,jvm_gc_pause_seconds_max,jvm_memory_usage_after_gc,jvm_memory_used_bytes,jvm_threads_daemon_threads,jvm_threads_live_threads,k6_data_received_total,k6_http_req_blocked_p99,k6_http_req_duration_p99,k6_http_req_receiving_p99,k6_http_req_sending_p99,k6_http_req_waiting_p99,k6_http_reqs_total,k6_vus,process_cpu_usage,process_files_open_files,process_open_fds,process_resident_memory_bytes,process_start_time_seconds,producer_fetch_duration_seconds_max,reactor_netty_bytebuf_allocator_active_direct_memory,reactor_netty_bytebuf_allocator_used_direct_memory,reactor_netty_connection_provider_active_connections,reactor_netty_connection_provider_idle_connections,reactor_netty_connection_provider_total_connections,reactor_netty_eventloop_pending_tasks,reactor_netty_http_client_address_resolver_seconds_max,reactor_netty_http_client_connect_time_seconds_max,reactor_netty_http_client_data_sent_time_seconds_max,reactor_netty_http_server_connections,reactor_netty_http_server_connections_active,reactor_netty_http_server_data_received_time_seconds_sum,reactor_netty_http_server_data_sent_time_seconds_sum,reactor_netty_http_server_response_time_seconds_sum,tomcat_connections_current_connections,tomcat_global_request_max_seconds,tomcat_global_request_seconds_count,tomcat_servlet_request_max_seconds
1774552827.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53079.0,871.0,348.588652,341127168.0,0.0,0.0,18944.0,0.0,1.0,0.0035022,1.0,0.468652125,4772.0,6.092161786,12200099714.0,75969008.0,3.6666666666666666e-05,0.0,0.9821531772613524,47699040.0,17.0,21.0,,,,,,,,,0.0076923076923076,15.0,14.0,55136256.0,1774539572.948,0.0,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,2.0,48.171,21112.0,48.165
1774552832.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53079.0,871.0,348.588652,341127168.0,0.0,0.0,18944.0,0.0,3.0,0.777205547,1.0,0.468652125,4772.0,6.092161786,12200099714.0,75969008.0,4e-05,0.0,0.9821531772613524,9824408.0,17.0,21.0,,,,,,,,,0.0451612903225806,19.0,14.0,55136256.0,1774539572.948,0.0,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,4.0,48.171,21113.0,48.165
1774552837.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53144.0,871.0,349.041704,341774336.0,0.0,0.0,18944.0,0.0,3.0,0.777205547,1.0,0.468652125,4772.0,6.092161786,12200099714.0,75969008.0,4e-05,0.0,0.9821531772613524,9824408.0,17.0,21.0,9038595.0,0.0,0.8073356,0.0509556,0.0,0.7563799999999999,1.0,7.0,0.0451612903225806,19.0,15.0,54820864.0,1774539572.948,0.0,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,4.0,48.171,21113.0,48.165
1774552842.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53144.0,871.0,349.041704,341774336.0,0.0,0.0,18944.0,0.0,16.0,5.747970554,1.0,0.468652125,4772.0,6.092161786,12248244864.0,75969008.0,0.0039433333333333,0.0,0.9821536540985109,36622008.0,17.0,21.0,37090962.0,0.00181161,1.04484911,0.1404217999999999,0.00065304,0.98905412,11.0,15.0,0.2875420875420875,51.0,15.0,54820864.0,1774539572.948,1.740502905,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,20.0,48.171,21236.0,48.165
1774552847.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53252.0,875.0,351.850621,342712320.0,0.0,0.0,18944.0,0.0,16.0,5.747970554,1.0,0.468652125,4772.0,6.092161786,12248244864.0,75969008.0,0.0039433333333333,0.0,0.9821536540985109,36622008.0,17.0,21.0,91258900.0,0.003267115,1.2896891610000003,0.150370215,0.000635066,1.234847385,30.0,23.0,0.2875420875420875,51.0,15.0,57491456.0,1774539572.948,1.740502905,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,20.0,48.171,21236.0,48.165
1774552852.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53252.0,875.0,351.850621,342712320.0,0.0,0.0,18944.0,0.0,30.0,19.048084814,1.0,0.468652125,4772.0,6.092161786,12359993042.0,75969008.0,0.00486,0.0,0.9893116354942322,44777008.0,17.0,21.0,149085745.0,0.00486615,1.6705623500000002,0.3761672,0.000635,1.489827,51.0,31.0,0.3750841750841751,82.0,15.0,57491456.0,1774539572.948,2.246156178,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,36.0,48.171,21489.0,48.165
1774552857.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53356.0,875.0,354.582865,342003712.0,0.0,0.0,18944.0,0.0,30.0,19.048084814,1.0,0.468652125,4772.0,6.092161786,12359993042.0,75969008.0,0.00486,0.0,0.9893116354942322,44777008.0,17.0,21.0,210960681.0,0.004409715,2.3840147920000003,0.4626334570000003,0.00062345,2.303527568,72.0,41.0,0.3750841750841751,82.0,15.0,57884672.0,1774539572.948,2.246156178,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,36.0,48.171,21489.0,48.165
1774552862.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53356.0,875.0,354.582865,342003712.0,0.0,0.0,18944.0,0.0,49.0,47.20879421,1.0,0.468652125,4772.0,6.092161786,12482553318.0,75969008.0,0.0052166666666666,0.0,0.9929869174957277,26993520.0,17.0,21.0,271285222.0,0.0038880749999999,2.71586368,0.4476326649999998,0.0006102499999999,2.6515606449999995,96.0,48.0,0.428,115.0,15.0,57884672.0,1774539572.948,2.68496786,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,53.0,48.171,21773.0,48.165
1774552867.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53448.0,878.0,357.012037,357122048.0,0.0,0.0,18944.0,0.0,49.0,47.20879421,1.0,0.468652125,4772.0,6.092161786,12482553318.0,75969008.0,0.0052166666666666,0.0,0.9929869174957277,26993520.0,17.0,21.0,333271676.0,0.00356412,2.841471165,0.5917362720000005,0.000603353,2.7945669210000004,114.0,56.0,0.428,115.0,15.0,62996480.0,1774539572.948,2.68496786,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,53.0,48.171,21773.0,48.165
1774552872.0,stress,raw,blocking,checkpoint_1,stress-raw-20260326-162027-checkpoint_1,56483840.0,53448.0,878.0,357.012037,357122048.0,0.0,0.0,18944.0,0.0,64.0,77.759323427,1.0,0.468652125,4772.0,6.092161786,12579597154.0,48104888.0,0.01626,0.0,0.3584093451499939,5519704.0,17.0,21.0,370543041.0,0.00333228,5.572223792000003,0.626600949,0.000598887,5.010920332000002,128.0,66.0,0.5626666666666666,147.0,15.0,62996480.0,1774539572.948,5.918122878,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,69.0,48.171,21988.0,48.165
